trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_4,2019-04-01 11:03,58.7916,29.3958,29.3958,29.0,29.791600000000003,57.0,28.5,28.5,26.0,31.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,31.0,31.0,31.0,31.0,31.0,58.7916,29.3958,29.3958,29.0,29.791600000000003,57.0,28.5,28.5,26.0,31.0,-86.2084,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,16.0,27.25,27.0,28.0,27.0,0.5274723043445937,-1
T_6,2019-04-01 11:03,58.7916,29.3958,29.3958,29.0,29.791600000000003,57.0,28.5,28.5,26.0,31.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547792351072148,-1
T_9,2019-04-01 11:03,29.0,29.0,29.0,29.0,29.0,117.0,117.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.791600000000003,-0.39580000000000126,-0.39580000000000126,0.0,-0.7916000000000025,60.0,88.5,88.5,91.0,86.0,-29.791600000000003,-29.791600000000003,-29.791600000000003,-29.791600000000003,-29.791600000000003,-31.0,-31.0,-31.0,-31.0,-31.0,0.4900013331200346,1
T_1,2019-04-01 11:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,29.0,29.0,29.0,29.0,53.0,7.571428571428571,6.0,4.0,12.0,-29.0,-29.0,-29.0,-29.0,-29.0,-117.0,-117.0,-117.0,-117.0,-117.0,203.0,29.0,29.0,29.0,29.0,53.0,7.571428571428571,6.0,4.0,12.0,0.4900013331200346,1
T_2,2019-04-01 11:04,457.2991999999999,28.581200000000003,28.5666,28.1916,29.0,16.0,1.0,1.0,1.0,1.0,243.2328,30.4041,30.4416,29.791600000000003,30.9416,8.0,1.0,1.0,1.0,1.0,457.2991999999999,28.581200000000003,28.5666,28.1916,29.0,16.0,1.0,1.0,1.0,1.0,40.2328,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,-45.0,-6.571428571428571,-5.0,-3.0,-11.0,0.4900013331200346,1
T_3,2019-04-01 11:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,29.0,29.0,29.0,31.0,7.75,7.5,7.0,9.0,-457.2991999999999,-28.581200000000003,-28.5666,-28.1916,-29.0,-16.0,-1.0,-1.0,-1.0,-1.0,-127.2328,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,23.0,6.75,6.5,6.0,8.0,0.4875026035157896,1
T_4,2019-04-01 11:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,29.0,29.0,29.0,31.0,7.75,7.5,7.0,9.0,-58.7916,-29.3958,-29.3958,-29.0,-29.791600000000003,-57.0,-28.5,-28.5,-26.0,-31.0,86.2084,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,0.0,-23.25,-23.5,-24.0,-22.0,0.5299640517645717,-1
T_9,2019-04-01 11:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.2084,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,-5.0,18.25,18.5,19.0,17.0,0.47502081252106,1
T_1,2019-04-01 11:05,29.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,26.0,26.0,26.0,26.0,26.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48250714233361025,1
T_2,2019-04-01 11:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.2328,30.4041,30.4416,29.791600000000003,30.9416,8.0,1.0,1.0,1.0,1.0,-29.0,-29.0,-29.0,-29.0,-29.0,-28.0,-28.0,-28.0,-28.0,-28.0,213.44119999999998,0.6124999999999972,0.6499999999999986,0.0,1.1499999999999986,-18.0,-25.0,-25.0,-25.0,-25.0,0.4900013331200346,1
